t,action,dist,ata,p_alt,p_spd,p_hdg,p_roll,t_alt,t_spd,t_hdg,p_n,p_e
70.6,4,7891.805593107498,-109.80949685817023,9971.235341641715,187.3865159249387,118.454596377613,-0.21268249295100927,2914.9875834174964,229.1794267615007,90.13233521681924,-3370.128004215362,14652.090663369097
70.7,4,7893.758195253879,-109.72696183394262,9980.395053198597,187.346354951372,118.45399624061596,-0.2115795008282004,2927.310818800476,228.63992248532804,90.0159033936875,-3379.0546925006934,14668.562999692016
70.8,4,7895.458994653387,-109.63647504908998,9989.521464052606,187.3025834273819,118.45343447654493,-0.21047137789500225,2939.8813352527145,228.08104094642476,90.03356785614022,-3387.9791984048175,14685.031705018613
70.9,4,7896.9140484440695,-109.55454325053431,9998.61393234839,187.26401165175957,118.45283918601312,-0.2093799267371157,2952.7076697383613,227.52944031639365,90.12583166695825,-3396.9016116110874,14701.496947185713
71.0,4,7898.1140833004565,-109.46480268840855,10007.67298221025,187.22183899447867,118.45228178052926,-0.20828349924668468,2965.797749367124,226.8928525620408,89.98784099486848,-3405.8219199063183,14717.958697843165
71.1,4,7899.064858107157,-109.38351206358081,10016.697971922496,187.18486032895936,118.45169125603255,-0.20720347191059427,2979.1307052036527,226.29937769453824,90.05705608624925,-3414.7402129764473,14734.417124823023
71.2,4,7899.7881210246005,-109.29447397426432,10025.689427090085,187.14429019934485,118.45113813601597,-0.20611861954095795,2992.6989139862003,225.75812662240307,90.10808392457251,-3423.6564787523084,14750.872200126845
71.3,4,7900.288325840846,-109.2138810528378,10034.646706114278,187.1089084428388,118.45055229778636,-0.20504990011094204,3006.4895580616862,225.13580758524532,89.97591938679396,-3432.570806921864,14767.32409158136
71.4,4,7900.582181063308,-109.12548570935968,10043.57033609317,187.06994439046454,118.45000339054381,-0.20397650387364702,3020.476665062401,224.5439953517627,90.08376483065716,-3441.4831855554808,14783.772771530383
71.5,4,7900.703101449634,-109.0456317889659,10052.459675552926,187.03616323167597,118.44942215930865,-0.2029189777200203,3034.6360437403414,223.9607506539521,90.07329563964291,-3450.3937043426436,14800.218407794908
71.6,4,7900.688474096746,-108.9579640420188,10061.31525310295,186.99880869730939,118.44887739256731,-0.20185691996151378,3048.9086274349274,223.38003690503538,89.97981901224612,-3459.3023514888223,14816.660973051678
71.7,4,7900.598138715061,-108.87868331566244,10070.136427367055,186.96663171675235,118.44830068968052,-0.20081047369065566,3063.2286564836386,222.90666313201092,90.11494153811796,-3468.209216684592,14833.1006351156
71.8,4,7900.479728535044,-108.79166579296856,10078.923728502292,186.93089003334003,118.4477599918185,-0.19975963800070703,3077.5588027893036,222.42318654298998,90.05710599352228,-3477.1142882661443,14849.537366987017
71.9,4,7900.360810101907,-108.71295913102328,10087.676515234665,186.90032070283522,118.44718773953129,-0.198724159342206,3091.8520372605444,221.88822695767018,90.00351967547881,-3486.0176559247298,14865.97133647433
72.0,4,7900.289509265669,-108.62653899224325,10096.395319276813,186.86619509378392,118.4466510398354,-0.1976844304386215,3106.059704876429,221.39481355980536,90.13194431598772,-3494.9193081228696,14882.402516892082
72.1,4,7900.306733296774,-108.54853092056561,10105.079499445583,186.83723677418484,118.44608316149026,-0.19665980814778364,3120.1422369470806,220.85806580393586,90.03420303201015,-3503.819334552045,14898.831076041615
72.2,4,7900.43895269959,-108.4627491684203,10113.729589034183,186.8047303507776,118.4455503902583,-0.19563107180868958,3134.0548161113534,220.31478560105882,90.05407462154928,-3512.717723796651,14915.256987542147
72.3,4,7900.713493900075,-108.38540482841154,10122.344946937807,186.77738628923723,118.44498681028664,-0.1946171956371941,3147.783389342353,219.7794079048396,90.13952331195216,-3521.614565547893,14931.680419187293
