step,p0_N,p0_E,p0_D,p1_N,p1_E,p1_D,t0_N,t0_E,t0_D
240,-11908,3971,3568,-9154,-7485,840,-11707,-1957,3186
241,-11962,3975,3568,-9218,-7500,841,-11751,-1965,3181
242,-12017,3980,3568,-9282,-7514,844,-11795,-1973,3174
243,-12072,3985,3568,-9346,-7529,846,-11840,-1981,3166
244,-12126,3990,3567,-9409,-7545,848,-11884,-1988,3158
245,-12181,3997,3565,-9472,-7560,849,-11929,-1996,3148
246,-12235,4005,3563,-9535,-7577,850,-11973,-2004,3137
247,-12290,4013,3560,-9598,-7592,851,-12018,-2012,3125
248,-12344,4022,3557,-9661,-7607,851,-12063,-2020,3113
249,-12399,4029,3553,-9725,-7621,852,-12107,-2028,3099
250,-12454,4035,3550,-9788,-7634,852,-12152,-2036,3084
251,-12508,4043,3546,-9851,-7650,852,-12197,-2044,3068
252,-12563,4051,3542,-9915,-7663,852,-12243,-2052,3051
253,-12617,4059,3537,-9978,-7677,852,-12288,-2060,3032
254,-12672,4064,3533,-10042,-7689,852,-12333,-2068,3013
255,-12726,4069,3528,-10106,-7700,853,-12379,-2076,2994
256,-12781,4075,3524,-10170,-7712,853,-12425,-2084,2974
257,-12836,4079,3520,-10234,-7723,853,-12471,-2092,2954
258,-12891,4083,3517,-10298,-7735,853,-12517,-2100,2934
259,-12946,4087,3514,-10363,-7746,854,-12564,-2109,2915
260,-13001,4090,3512,-10427,-7757,855,-12611,-2117,2896
261,-13056,4092,3509,-10491,-7767,857,-12658,-2125,2878
262,-13112,4094,3507,-10555,-7775,860,-12705,-2133,2861
263,-13167,4097,3505,-10619,-7786,863,-12752,-2141,2845
264,-13223,4101,3502,-10682,-7795,865,-12799,-2150,2829
265,-13278,4106,3499,-10746,-7805,867,-12847,-2158,2814
266,-13334,4111,3495,-10810,-7814,869,-12895,-2166,2801
267,-13390,4117,3490,-10873,-7824,871,-12942,-2175,2788
268,-13445,4121,3486,-10937,-7833,872,-12990,-2183,2776
269,-13501,4128,3481,-11001,-7841,873,-13038,-2191,2765
270,-13556,4131,3476,-11065,-7849,875,-13086,-2200,2755
271,-13612,4135,3471,-11129,-7858,877,-13134,-2208,2747
272,-13667,4138,3465,-11194,-7865,878,-13183,-2216,2739
273,-13723,4142,3460,-11259,-7871,880,-13231,-2225,2732
274,-13779,4144,3455,-11323,-7877,882,-13279,-2233,2726
275,-13835,4145,3450,-11388,-7881,884,-13328,-2241,2721
276,-13890,4145,3446,-11454,-7886,886,-13376,-2250,2717
277,-13946,4146,3442,-11519,-7892,889,-13424,-2258,2714
278,-14002,4146,3439,-11584,-7898,891,-13473,-2266,2712
279,-14058,4146,3436,-11649,-7904,892,-13521,-2275,2711
280,-14113,4147,3433,-11715,-7909,893,-13570,-2283,2711
281,-14169,4146,3429,-11781,-7912,895,-13618,-2292,2711
282,-14225,4145,3426,-11847,-7916,897,-13667,-2300,2713
283,-14281,4143,3423,-11912,-7920,898,-13715,-2308,2716
284,-14336,4141,3421,-11978,-7922,899,-13764,-2317,2719
285,-14392,4140,3418,-12045,-7925,901,-13812,-2325,2723
286,-14448,4137,3416,-12111,-7928,902,-13861,-2333,2728
287,-14505,4134,3413,-12177,-7930,904,-13910,-2342,2734
288,-14561,4132,3410,-12243,-7932,905,-13958,-2350,2741
289,-14617,4129,3408,-12310,-7935,906,-14007,-2358,2749
290,-14673,4126,3405,-12376,-7937,907,-14055,-2367,2758
291,-14729,4122,3403,-12443,-7940,908,-14103,-2375,2768
292,-14786,4120,3401,-12510,-7942,910,-14151,-2383,2779
293,-14842,4114,3399,-12577,-7943,912,-14200,-2392,2791
294,-14898,4109,3397,-12643,-7943,916,-14248,-2400,2803
295,-14954,4102,3395,-12710,-7943,920,-14296,-2408,2817
296,-15009,4094,3393,-12776,-7944,924,-14343,-2416,2832
297,-15065,4085,3391,-12843,-7944,927,-14391,-2424,2847
298,-15121,4074,3389,-12909,-7944,931,-14439,-2433,2864
299,-15176,4063,3388,-12975,-7944,934,-14486,-2441,2881
300,-15231,4051,3386,-13042,-7943,938,-14533,-2449,2899
301,-15286,4037,3385,-13108,-7942,941,-14580,-2457,2918
302,-15341,4023,3384,-13175,-7940,945,-14627,-2465,2938
303,-15396,4011,3383,-13241,-7938,949,-14674,-2473,2959
304,-15450,3997,3382,-13308,-7936,953,-14720,-2481,2981
305,-15505,3983,3382,-13374,-7933,957,-14767,-2489,3003
306,-15560,3968,3381,-13441,-7931,961,-14813,-2497,3025
307,-15614,3952,3381,-13507,-7928,966,-14859,-2505,3047
308,-15668,3938,3380,-13574,-7925,971,-14905,-2513,3069
309,-15721,3921,3379,-13640,-7922,977,-14951,-2521,3090
310,-15775,3904,3379,-13706,-7919,984,-14997,-2528,3111
311,-15829,3888,3379,-13772,-7916,991,-15042,-2536,3130
312,-15882,3872,3378,-13837,-7912,999,-15087,-2544,3149
313,-15935,3853,3378,-13903,-7909,1007,-15133,-2552,3167
314,-15987,3834,3378,-13968,-7905,1016,-15178,-2560,3184
315,-16039,3814,3378,-14033,-7900,1025,-15223,-2567,3200
316,-16091,3793,3378,-14098,-7894,1035,-15268,-2575,3214
317,-16143,3774,3378,-14163,-7889,1045,-15312,-2583,3228
318,-16195,3753,3377,-14228,-7883,1055,-15357,-2591,3241
319,-16246,3732,3378,-14293,-7876,1065,-15401,-2598,3253
320,-16298,3712,3378,-14358,-7870,1075,-15446,-2606,3264
321,-16349,3690,3378,-14422,-7863,1085,-15490,-2614,3273
322,-16399,3668,3378,-14487,-7856,1096,-15534,-2621,3282
323,-16451,3647,3378,-14552,-7849,1106,-15579,-2629,3290
324,-16501,3625,3378,-14617,-7842,1115,-15623,-2637,3296
325,-16552,3603,3378,-14681,-7836,1125,-15667,-2644,3302
326,-16602,3582,3378,-14746,-7829,1134,-15711,-2652,3307
327,-16653,3559,3377,-14811,-7822,1142,-15755,-2659,3310
